Block Number,X,Y,DMA,Zone,Status
2293,32.91829063,24.0942848,1,1035,water meter
2294,32.91820372,24.09429926,1,1135,water meter
2295,32.91821857,24.09418311,1,1135,water meter
2297,32.91823056,24.09406583,1,1135,water meter
2298,32.9180404,24.09408505,1,1135,illegal connection
2299,32.91797471,24.09403977,1,1135,illegal connection
2300,32.91804647,24.09424706,1,1135,non-user
2301,32.91807226,24.09432577,1,1135,water meter
2302,32.91810279,24.09441595,1,1135,illegal connection
2303,32.91812727,24.09448981,1,1135,water meter
2304,32.91804063,24.09450953,1,1135,water meter
2305,32.91795654,24.09452806,1,1135,water meter
2306,32.91787644,24.09454605,1,1135,water meter
2307,32.91778973,24.09456553,1,1135,illegal connection
2308,32.91770813,24.09458322,1,1135,water meter
2309,32.91769478,24.09451329,1,1135,water meter
2310,32.91774692,24.09450169,1,1135,water meter
2311,32.91780262,24.09448868,1,1135,water meter
2312,32.91786463,24.09447418,1,1135,water meter
2313,32.91797774,24.09444748,1,1135,water meter
2314,32.91799155,24.09435695,1,1135,water meter
2315,32.91796621,24.09426849,1,1135,
2316,32.91790049,24.09437654,1,1135,illegal connection
2317,32.91781064,24.09438911,1,1135,water meter
2318,32.91718824,24.09475657,1,1135,water meter
2319,32.91721582,24.09529496,1,1135,water meter
2320,32.91670102,24.09519433,1,1135,water meter
2321,32.91654524,24.09474987,1,1135,illegal connection
2322,32.91930023,24.09354817,1,1135,water meter
2323,32.91937527,24.09351358,1,1135,water meter
2324,32.91942432,24.09350254,1,1135,water meter
2325,32.91940939,24.09358365,1,1135,water meter
2326,32.9193976,24.09367327,1,1135,illegal connection
2327,32.91940465,24.09375682,1,1135,water meter
2328,32.9194203,24.09380513,1,1135,water meter
2329,32.91943878,24.09385909,1,1135,water meter
2333,32.91959101,24.09408287,1,1135,water meter
2334,32.91959979,24.09425515,1,1135,illegal connection
2335,32.91954397,24.09413161,1,1135,illegal connection
2336,32.91949584,24.09402646,1,1135,water meter
2337,32.9194533,24.09393706,1,1135,water meter
2338,32.91928233,24.09372161,1,1135,illegal connection
2339,32.91927701,24.09378582,1,1135,illegal connection
2341,32.91932437,24.09387871,1,1135,water meter
2342,32.91936109,24.09396821,1,1135,water meter
2343,32.91938546,24.09404386,1,1135,illegal connection
2344,32.91940767,24.09411978,1,1135,water meter
2345,32.9194314,24.09420043,1,1135,illegal connection
